path,kraken_bacteria,kraken_fungi,kraken_unclassified,Species,Location,Host_species,Stage,million_reads,Mh_mapping,MaMO_mapping,concerns
indiv11_mhyp_lincoln,1.2,0.14,94.68,M. hyperodae,Lincoln,ASW,Pupa,44.32,92.1,80.45,
indiv12_mhyp_lincoln,1.02,0.11,95.4,M. hyperodae,Lincoln,ASW,Pupa,43.34,91.36,78.36,
indiv14_mhyp_lincoln,1.24,0.11,95.51,M. hyperodae,Lincoln,ASW,Pupa,27.24,89.98,76.29,
indiv27_maethm_lincoln,1.2,0.15,94.29,M. aethiopoides Moroccan,Lincoln,LW,Pupa,18.58,73.66,94.37,
indiv28_mhyp_lincoln,1.01,0.12,95.24,M. hyperodae,Lincoln,ASW,Pupa,25.9,90.83,77.6,
indiv29_mhyp_lincoln,1.4,0.11,93.89,M. hyperodae,Lincoln,ASW,Pupa,20.58,90.98,75.97,
indiv3_mhyp_lincoln,1.58,0.2,91.64,M. hyperodae,Lincoln,ASW,Adult,10.87,94.77,86.33,
indiv33_mhyp_ruakura,2.66,0.14,88.31,M. hyperodae,Ruakura,ASW,Adult,0.1,92.77,82.87,very low no. reads
indiv34_mhyp_lincoln,4.1,0.21,81.89,M. hyperodae,Lincoln,ASW,Larva,13.97,97.79,90.67,
indiv35_mhyp_lincoln,3.6,0.2,85.76,M. hyperodae,Lincoln,ASW,Larva,11.07,97.36,91.08,
indiv36_mhyp_ruakura,1.99,0.12,91.11,M. hyperodae,Ruakura,ASW,Adult,0.17,84.09,88.32,very low no. reads
indiv37_maethm_lincoln,2.02,0.19,90.04,M. aethiopoides Moroccan,Lincoln,LW,Pupa,17.16,82.95,98.51,
indiv38_mhyp_ruakura,3.25,0.21,85.75,M. hyperodae,Ruakura,ASW,Adult,6.79,97.36,91.02,
indiv39_mhyp_lincoln,3.48,0.2,85.5,M. hyperodae,Lincoln,ASW,Adult,10.89,97.4,90.9,
indiv4_maethm_lincoln,1.42,0.17,94.24,M. aethiopoides Moroccan,Lincoln,LW,Pupa,47.26,75.27,96.98,
indiv40_mhyp_lincoln,3.06,0.15,87.97,M. hyperodae,Lincoln,ASW,Adult,9.45,96.78,87.95,
indiv41_maethm_lincoln,1.86,0.18,91.66,M. aethiopoides Moroccan,Lincoln,LW,Pupa,16.19,81.51,96.98,
indiv42_mhyp_lincoln,3.88,0.17,86.71,M. hyperodae,Lincoln,ASW,Pupa,22.1,97.19,90.19,
indiv43_mhyp_lincoln,3.23,0.2,85.33,M. hyperodae,Lincoln,ASW,Pupa,6.62,97.31,91.09,
indiv44_maethm_lincoln,1.57,0.17,92.94,M. aethiopoides Moroccan,Lincoln,LW,Pupa,36.88,80.73,98.34,
indiv45_mhyp_ruakura,2.46,0.19,87.21,M. hyperodae,Ruakura,ASW,Adult,7.33,94.83,86.42,
indiv46_mhyp_ruakura,1.61,0.2,92.75,M. hyperodae,Ruakura,ASW,Adult,0.14,79.72,80.61,very low no. reads
indiv47_mhyp_ruakura,2.27,0.18,86.99,M. hyperodae,Ruakura,ASW,Adult,8.65,95.12,86.04,
indiv48_mhyp_lincoln,2.08,0.09,91.3,M. hyperodae,Lincoln,ASW,Pupa,13.83,92.24,79.84,
indiv5_maethm_lincoln,1.48,0.16,91.07,M. aethiopoides Moroccan,Lincoln,LW,Pupa,0.08,77.61,89.65,very low no. reads
indiv50_mhyp_lincoln,2.77,0.18,89.29,M. hyperodae,Lincoln,ASW,Adult,17.52,96.63,89.11,
indiv51_mhyp_lincoln,3.1,0.19,86.52,M. hyperodae,Lincoln,ASW,Larva,10.87,97.06,90.68,
indiv52_mhyp_lincoln,3.3,0.19,84.89,M. hyperodae,Lincoln,ASW,Larva,39.8,97.52,89.45,
indiv53_mhyp_lincoln,2.52,0.11,90.17,M. hyperodae,Lincoln,ASW,Pupa,11.23,93.96,83.12,
indiv54_mhyp_lincoln,3.66,0.2,85.14,M. hyperodae,Lincoln,ASW,Larva,10.53,96.34,89.89,
indiv55_mhyp_lincoln,1.51,0.13,93.81,M. hyperodae,Lincoln,ASW,Pupa,18.05,92.94,81.49,
indiv56_maethm_lincoln,1.91,0.12,91.88,M. aethiopoides Moroccan,Lincoln,LW,Pupa,0.06,87.84,79.35,very low no. reads
indiv57_mhyp_lincoln,2.51,0.16,89.98,M. hyperodae,Lincoln,ASW,Pupa,18.48,96.89,89.45,
indiv58_mhyp_lincoln,2.19,0.16,92.74,M. hyperodae,Lincoln,ASW,Pupa,18.54,92.79,82.49,
indiv59_mhyp_lincoln,2.32,0.16,90.76,M. hyperodae,Lincoln,ASW,Larva,18.53,95.85,87.51,
indiv60_maethm_lincoln,1.69,0.12,92.65,M. aethiopoides Moroccan,Lincoln,LW,Pupa,0.21,86.83,84.84,very low no. reads
indiv61_mhyp_lincoln,3.09,0.18,86.73,M. hyperodae,Lincoln,ASW,Larva,18.54,97.14,89.96,
indiv63_mhyp_lincoln,1.68,0.12,91.67,M. hyperodae,Lincoln,ASW,Adult,0.16,90.65,79.45,very low no. reads
indiv65_mhyp_lincoln,1.44,0.15,93.96,M. hyperodae,Lincoln,ASW,Adult,18.72,93.81,83.1,
indiv67_mhyp_lincoln,2.01,0.16,91.32,M. hyperodae,Lincoln,ASW,Larva,20.87,95.72,87.39,
indiv68_maethm_lincoln,1.34,0.15,93.62,M. aethiopoides Moroccan,Lincoln,LW,Pupa,39.17,72.99,90.62,
indiv69_maethm_lincoln,1.34,0.15,93.59,M. aethiopoides Moroccan,Lincoln,LW,Pupa,64.12,78.71,98.36,
indiv70_maethm_lincoln,1.41,0.14,93.16,M. aethiopoides Moroccan,Lincoln,LW,Pupa,41.64,62.1,73.7,
indiv72_mhyp_lincoln,1.4,0.11,94.64,M. hyperodae,Lincoln,ASW,Pupa,34.49,92.99,79.91,
indiv73_mhyp_ruakura,2.6,0.19,87.18,M. hyperodae,Ruakura,ASW,Adult,9.89,96.25,88.51,
indiv75_maethm_lincoln,1.23,0.13,93.71,M. aethiopoides Moroccan,Lincoln,LW,Pupa,31.2,56.56,67.56,
indiv76_maethm_lincoln,1.49,0.16,93.23,M. aethiopoides Moroccan,Lincoln,LW,Pupa,61.78,79.47,98.27,
indiv77_mhyp_lincoln,2.95,0.19,87,M. hyperodae,Lincoln,ASW,Larva,15.21,96.48,89.89,
indiv78_mhyp_lincoln,1.92,0.15,91.76,M. hyperodae,Lincoln,ASW,Larva,24.47,95.49,86.18,
indiv79_mhyp_lincoln,1.56,0.14,93.65,M. hyperodae,Lincoln,ASW,Pupa,1.76,93.79,85.19,very low no. reads
indiv81_mhyp_lincoln,2.44,0.18,87.89,M. hyperodae,Lincoln,ASW,Adult,4.68,95.57,86.98,
indiv82_mhyp_lincoln,69.49,0.04,28.89,M. hyperodae,Lincoln,ASW,Larva,24.64,28.39,25.78,contaminated
indiv83_mhyp_lincoln,4.34,0.14,91.56,M. hyperodae,Lincoln,ASW,Pupa,42.61,87.01,77.32,
indiv84_mhyp_lincoln,1.53,0.13,94.1,M. hyperodae,Lincoln,ASW,Pupa,39.8,92.45,81.03,
indiv85_mhyp_lincoln,2.76,0.2,87.9,M. hyperodae,Lincoln,ASW,Larva,12.21,95.89,89.04,
indiv86_maethm_lincoln,1.65,0.6,92.9,M. aethiopoides Moroccan,Lincoln,LW,Pupa,5.99,73.04,88.61,
indiv87_maethm_lincoln,1.45,0.16,93.49,M. aethiopoides Moroccan,Lincoln,LW,Pupa,19.16,79.92,98.49,
indiv88_maethm_lincoln,1.38,0.15,93.65,M. aethiopoides Moroccan,Lincoln,LW,Pupa,14.54,78.6,98.26,