location,lat,long,country
Ruakura,-37.776474,175.309171,new_zealand
Lincoln,-43.64,172.4862,new_zealand
Ascasubi,-39.38095843,-62.65105044,argentina
Bariloche,-41.13686044,-71.35134482,argentina
Featherston,-41.11491914,175.3264273,new_zealand
Fortrose,-46.5753943,168.8104976,new_zealand
Hawkes_Bay,-39.44705654,176.8468404,new_zealand
La_Serena,-29.88149185,-71.25656314,chile
Mararoa,-45.36183019,168.0942413,new_zealand
Mendoza,-32.8833824,-68.97375118,argentina
Mossburn,-45.6853691,168.1827515,new_zealand
Porto Alegre,-30.02554372,-51.1683352,brazil
Rio Negro,-33.39913465,-58.34554997,uruguay
Ruakuka,-35.88537919,174.4451284,new_zealand
Concepcion,-36.8201,-73.044,chile
Colonia,-35.1285,-57.66,uruguay
Greymouth,-42.46,171.199,new_zealand